Ask,Archive,Keep,Notes,repo full name,repo url,language,archived,is fork,pushed at,last commit date,last release date,github dependents,github contributors,open issues count,open prs count,commit count,is submodule of,git submodules,github downloads,github release count,npmjs package name,npmjs url,npm is deprecated,npmjs downloads last year,npmjs last published,npmjs used by,npmjs uses,last edit date,repo full name2,repo url2,classification,classification reason,npmjs classification,npmjs classification reason,repo name,organization name
,x,,,unfoldingWord-box3/anchor-alignment-poc,https://github.com/unfoldingWord-box3/anchor-alignment-poc,JavaScript,False,False,2021-07-21T18:55:52Z,2021-07-06T04:48:26Z,,,"ancientTexts-net, klappy, themikejr",2,2,23,,,0,0,anchor-alignment-poc,,,,,,"alignment-editor-rcl, bible-reference-rcl, gitea-react-toolkit, string-punctuation-tokenizer, wordmap-lexer, markdown-translatable, @unfoldingword/eslint-config, bible-reference-range",2021-08-09T17:50:41Z,unfoldingWord-box3/anchor-alignment-poc,https://github.com/unfoldingWord-box3/anchor-alignment-poc,0-No longer used candidate,"Repository name suggests cleanup/test/demo content, it has no detected usage, and the last commit was over 24 months ago (59 months ago).",Deprecate npm package candidate,"Published package has no detected local consumers, no GitHub dependents, and no npm download activity in the last year.",anchor-alignment-poc,unfoldingWord-box3
,x,,,unfoldingWord-dev/android-event-buffer,https://github.com/unfoldingWord-dev/android-event-buffer,Java,False,False,2017-02-07T23:36:28Z,2017-02-07T23:35:53Z,,,da1nerd,0,0,7,,,0,0,,,,,,,,2017-01-05T01:22:50Z,unfoldingWord-dev/android-event-buffer,https://github.com/unfoldingWord-dev/android-event-buffer,0-No longer used candidate,"Repository has had no commits in over 60 months (112 months ago) and has no usage, downloads (0), or releases (0).",,,android-event-buffer,unfoldingWord-dev
,x,,,unfoldingWord-dev/android-foreground,https://github.com/unfoldingWord-dev/android-foreground,Java,False,False,2017-02-23T18:30:54Z,2017-02-23T18:30:46Z,,,da1nerd,0,0,4,,,0,0,,,,,,,,2017-02-10T22:11:12Z,unfoldingWord-dev/android-foreground,https://github.com/unfoldingWord-dev/android-foreground,0-No longer used candidate,"Repository has very few commits (4) and has had no activity in over 36 months (112 months ago) with no usage, downloads, or releases.",,,android-foreground,unfoldingWord-dev
,x,,,unfoldingWord-dev/android-http,https://github.com/unfoldingWord-dev/android-http,Java,False,False,2019-04-26T20:08:26Z,2019-04-26T20:06:51Z,,,da1nerd,0,0,19,,,0,0,,,,,,,,2019-04-26T20:08:03Z,unfoldingWord-dev/android-http,https://github.com/unfoldingWord-dev/android-http,0-No longer used candidate,"Repository has had no commits in over 60 months (86 months ago) and has no usage, downloads (0), or releases (0).",,,android-http,unfoldingWord-dev
,x,,,unfoldingWord-dev/android-logger,https://github.com/unfoldingWord-dev/android-logger,Java,False,False,2017-04-19T22:57:41Z,2017-04-19T22:57:33Z,,,"da1nerd, jsarabia",0,0,19,,,0,0,,,,,,,,2016-02-27T02:27:42Z,unfoldingWord-dev/android-logger,https://github.com/unfoldingWord-dev/android-logger,0-No longer used candidate,"Repository has had no commits in over 60 months (110 months ago) and has no usage, downloads (0), or releases (0).",,,android-logger,unfoldingWord-dev
,x,,,unfoldingWord-dev/android-task-manager,https://github.com/unfoldingWord-dev/android-task-manager,Java,False,False,2017-03-21T21:14:27Z,2017-03-21T21:14:14Z,,,da1nerd,0,0,20,,,0,0,,,,,,,,2016-06-15T00:18:45Z,unfoldingWord-dev/android-task-manager,https://github.com/unfoldingWord-dev/android-task-manager,0-No longer used candidate,"Repository has had no commits in over 60 months (111 months ago) and has no usage, downloads (0), or releases (0).",,,android-task-manager,unfoldingWord-dev
,x,,,unfoldingWord/blank-project-template,https://github.com/unfoldingWord/blank-project-template,,False,False,2022-08-23T18:30:41Z,2021-12-01T16:36:14Z,,,mannycolon,2,0,8,,,0,0,,,,,,,,2022-08-20T15:23:15Z,unfoldingWord/blank-project-template,https://github.com/unfoldingWord/blank-project-template,0-No longer used candidate,"Repository name suggests cleanup/test/demo content, it has no detected usage, and the last commit was over 24 months ago (54 months ago).",,,blank-project-template,unfoldingWord
,x,,,unfoldingWord-box3/book-package-viewer-poc,https://github.com/unfoldingWord-box3/book-package-viewer-poc,JavaScript,False,False,2020-10-19T16:22:36Z,2020-10-19T16:21:53Z,,,klappy,0,0,6,,,0,0,book-package-viewer-poc,,,,,,"gitea-react-toolkit, markdown-translatable, scripture-resources-rcl, @unfoldingword/eslint-config, bible-reference-range, string-punctuation-tokenizer, tc-ui-toolkit, usfm-js, uw-quote-helpers, word-aligner, wordmap-lexer, tsv-groupdata-parser, uw-bible-parser, uw-tsv-parser",2020-10-21T20:48:29Z,unfoldingWord-box3/book-package-viewer-poc,https://github.com/unfoldingWord-box3/book-package-viewer-poc,0-No longer used candidate,"Repository has had no commits in over 60 months (68 months ago) and has no usage, downloads (0), or releases (0).",Deprecate npm package candidate,"Published package has no detected local consumers, no GitHub dependents, and no npm download activity in the last year.",book-package-viewer-poc,unfoldingWord-box3
,x,,,unfoldingWord-dev/comment_box,https://github.com/unfoldingWord-dev/comment_box,JavaScript,False,False,2017-03-13T15:21:35Z,2017-03-13T15:19:36Z,,,"mannycolon, ihoegen, Sterling (Jay) Scott",0,0,40,,,0,0,CommentBox,,,,,,,2019-10-22T19:37:22Z,unfoldingWord-dev/comment_box,https://github.com/unfoldingWord-dev/comment_box,0-No longer used candidate,"Repository has had no commits in over 60 months (111 months ago) and has no usage, downloads (0), or releases (0).",Deprecate npm package candidate,"Published package has no detected local consumers, no GitHub dependents, and no npm download activity in the last year.",comment_box,unfoldingWord-dev
,x,,,unfoldingWord-dev/dokuwiki-obs-comparer,https://github.com/unfoldingWord-dev/dokuwiki-obs-comparer,PHP,False,False,2015-06-23T01:03:31Z,2015-06-02T01:42:21Z,,,richmahn,0,0,7,,,0,0,,,,,,,,2015-05-29T18:20:26Z,unfoldingWord-dev/dokuwiki-obs-comparer,https://github.com/unfoldingWord-dev/dokuwiki-obs-comparer,0-No longer used candidate,"Repository has had no commits in over 60 months (132 months ago) and has no usage, downloads (0), or releases (0).",,,dokuwiki-obs-comparer,unfoldingWord-dev
